transactionHash,fromAddress,fromLabel,fromIsContract,toAddress,toLabel,toIsContract,tokenAddress,type,blockTimestamp,blockNumber,blockHash,tokenName,tokenSymbol,tokenDecimals,unitValue,tokenId,historicalUSD,chain
0x10b91257799c06b6b64915c3445793757ea721f399a6349e0e120ec184f3ff44,0x136D4b662BbD1080Cfe4445B0fA213864435B7f1,0x136D4b662BbD1080Cfe4445B0fA213864435B7f1,false,0x0F87Fb507513e749081E34373c84E95e85b5c057,0x0F87Fb507513e749081E34373c84E95e85b5c057,false,,external,2015-08-19T10:08:38Z,110758,0xe6274876d9feed982748fde865bff6ce8c3cc7daba93b58afc306c96b08a3ca7,Ethereum,ETH,18,0.99876343557959,ethereum,1.2511895596343383,ethereum
0xb71cc152c5179955264bebac0361c1e31c4a8e2f988285b8b689beabcbe77d4e,0x0F87Fb507513e749081E34373c84E95e85b5c057,0x0F87Fb507513e749081E34373c84E95e85b5c057,false,0x136D4b662BbD1080Cfe4445B0fA213864435B7f1,0x136D4b662BbD1080Cfe4445B0fA213864435B7f1,false,,external,2015-08-19T09:55:28Z,110710,0x83e7607f9802c8a53c54d06b3eb43ed24f639a7e0782d45f66d29c8f8a4f0b76,Ethereum,ETH,18,1,ethereum,1.252738651679077,ethereum
0x90bfb6520a7b0a1d7dfa90a3d9a9a003829bb96804c199825040aff6fe34e62c,0x136D4b662BbD1080Cfe4445B0fA213864435B7f1,0x136D4b662BbD1080Cfe4445B0fA213864435B7f1,false,0xc8ebccC5F5689Fa8659d83713341e5aD19349448,0xc8ebccC5F5689Fa8659d83713341e5aD19349448,false,,external,2015-08-07T04:06:56Z,46277,0x73149e332a96e11fa3599fc804ee8f41970affc4619fb08fb6ac8693f93a4440,Ethereum,ETH,18,0.98,ethereum,2.7749876,ethereum
0xa65bf5b19d573a4dd48bc8a0a4a9f05b6d0bcd713cba1c57b45130cf890a5600,0x136D4b662BbD1080Cfe4445B0fA213864435B7f1,0x136D4b662BbD1080Cfe4445B0fA213864435B7f1,false,0xc8ebccC5F5689Fa8659d83713341e5aD19349448,0xc8ebccC5F5689Fa8659d83713341e5aD19349448,false,,external,2015-08-07T04:01:04Z,46256,0xc6007c2df4809af52d7f599632e52f8b10c942c3b75dc83a497aea4a7e3b655e,Ethereum,ETH,18,999,ethereum,2828.78838,ethereum
0x8514ce8f269e2745264a5d3529b7dea51538304a7e70871fe800ca4872d9d83c,0x136D4b662BbD1080Cfe4445B0fA213864435B7f1,0x136D4b662BbD1080Cfe4445B0fA213864435B7f1,false,0xc8ebccC5F5689Fa8659d83713341e5aD19349448,0xc8ebccC5F5689Fa8659d83713341e5aD19349448,false,,external,2015-08-07T03:58:33Z,46246,0x3f2212a89f18f77cb2e7ddb7714ff110da52237410e5f76d6cd226a2af64c00b,Ethereum,ETH,18,2000,ethereum,5663.24,ethereum
0x04ff148add6a0b71ba11ff0813e376c0bf12a23bc9b984b9fdac33f3ad85121d,0x136D4b662BbD1080Cfe4445B0fA213864435B7f1,0x136D4b662BbD1080Cfe4445B0fA213864435B7f1,false,0xc8ebccC5F5689Fa8659d83713341e5aD19349448,0xc8ebccC5F5689Fa8659d83713341e5aD19349448,false,,external,2015-08-07T03:56:49Z,46240,0x23e1d63506f4fd6405f064abaef682c5b4f3b4912030d972fb9c0b1eaf587e40,Ethereum,ETH,18,1000,ethereum,2831.62,ethereum
