transactionHash,fromAddress,fromLabel,fromIsContract,toAddress,toLabel,toIsContract,tokenAddress,type,blockTimestamp,blockNumber,blockHash,tokenName,tokenSymbol,tokenDecimals,unitValue,tokenId,historicalUSD,chain
0xe5a6adf5852858c028286c4c235301889ac81d7e5b3dd41f2da5f99da981461b,0x9A19D8e6D08f4F0Ff244C14edD31b749A4FbD402,0x9A19D8e6D08f4F0Ff244C14edD31b749A4FbD402,false,0x03a520b32C04BF3bEEf7BEb72E919cf822Ed34f1,Uniswap: Uniswap V3 Positions NFT-V1 (UNI-V3-POS) (0x03a),true,,external,2024-02-06T00:12:37Z,10194505,0x40f587c98201c13516234f6c8bda93f184dd96f2ae76f35b40053f73555ca335,Ethereum,ETH,18,1.5000762256479259,ethereum,3446.530133761905,base
0x412ff5b582caa5d0106f78ca29d5f77c9589d4072a63f44f939594f07ea6b5ff,0x09aea4b2242abC8bb4BB78D537A67a245A7bEC64,Across Protocol: Base_SpokePool (Proxy) (0x09a),true,0x9A19D8e6D08f4F0Ff244C14edD31b749A4FbD402,0x9A19D8e6D08f4F0Ff244C14edD31b749A4FbD402,false,,internal,2024-02-05T23:57:59Z,10194066,0x342e8c2fb8a2c9b3dffc82811552b208bf57b691f45a51bf752675c00b7ad23f,Ethereum,ETH,18,1.5857122265500638,ethereum,3644.8864097034457,base
0x8f3b6cb797b3de6f6253a7dce2b0fd12dbdc1fa6bb9b70b7b5208da2602cb445,0x9A19D8e6D08f4F0Ff244C14edD31b749A4FbD402,0x9A19D8e6D08f4F0Ff244C14edD31b749A4FbD402,false,0x0439e60F02a8900a951603950d8D4527f400C3f1,MetaMask: MetaBridge (0x043),true,,external,2024-02-05T23:52:59Z,19165454,0xc5c365f5f900447079568e890cdded15ffa9c6c553350f0ccbdf8b3ded503b80,Ethereum,ETH,18,1.6,ethereum,3677.008,ethereum
0xd07e99929b9ab51223798a25aad02fdc9369086197e90c40f1ab6d5c7c1d5da7,0x9A19D8e6D08f4F0Ff244C14edD31b749A4FbD402,0x9A19D8e6D08f4F0Ff244C14edD31b749A4FbD402,false,0x9A19D8e6D08f4F0Ff244C14edD31b749A4FbD402,0x9A19D8e6D08f4F0Ff244C14edD31b749A4FbD402,false,,external,2024-02-05T23:51:23Z,19165446,0x9bb83db441ec3615c4e4f341c7518a96a01f3f497b48dafd9432657c7aa3d397,Ethereum,ETH,18,0.01,ethereum,22.9813,ethereum
0xb22fe2a46f61772d5a3a880f52729dbd3326ca9be31972ea32beaee65dfc88e9,0x4E5B2e1dc63F6b91cb6Cd759936495434C7e972F,FixedFloat (0x4E5),false,0x9A19D8e6D08f4F0Ff244C14edD31b749A4FbD402,0x9A19D8e6D08f4F0Ff244C14edD31b749A4FbD402,false,,external,2024-02-05T23:27:23Z,19165327,0x779c0896117699bae4b7be0e65686254ee5e29704968f13822350f8c27e3ed0e,Ethereum,ETH,18,1.0340612,ethereum,2373.63578154,ethereum
0x24bacdc30684873b333f2fd76ba5802aa2d8699049e57cc8db417a32566cddf2,0x8D9c8D005071f86bf557f170A0BBDf6561d4Ec74,0x8D9c8D005071f86bf557f170A0BBDf6561d4Ec74,false,0x9A19D8e6D08f4F0Ff244C14edD31b749A4FbD402,0x9A19D8e6D08f4F0Ff244C14edD31b749A4FbD402,false,,external,2024-02-05T23:23:35Z,19165308,0x8698ab571e3ee527a3ca1c1fa3a6b9408d4f267ae47a15dfd330d2adf63fbc5f,Ethereum,ETH,18,0.007218426395832318,ethereum,16.531207026151424,ethereum
0x96216abf534cdbe59afc09bf2a13f1b6050c080b485ff6a2203bba7ff9a4f107,0x8D9c8D005071f86bf557f170A0BBDf6561d4Ec74,0x8D9c8D005071f86bf557f170A0BBDf6561d4Ec74,false,0x9A19D8e6D08f4F0Ff244C14edD31b749A4FbD402,0x9A19D8e6D08f4F0Ff244C14edD31b749A4FbD402,false,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,token,2024-02-05T23:22:59Z,19165305,0x2b8536aee036c27cdfbe2faa13f39d3e480dd207f1f5617d2556814b79870dc6,Wrapped Ether,WETH,18,0.004481093209886881,weth,10.269590174690359,ethereum
0x9afb9e8fb93dc8407b151313a3d12ec436436faef3a527d5cf3a77f98e9133a6,0x21bACe4927263D2F9932a2309bcB55B93590ddC7,0x21bACe4927263D2F9932a2309bcB55B93590ddC7,false,0x9A19D8e6D08f4F0Ff244C14edD31b749A4FbD402,0x9A19D8e6D08f4F0Ff244C14edD31b749A4FbD402,false,,external,2024-02-05T23:22:23Z,19165302,0x6f2f139a598befae9c6420fb33c8720e45266f65fd0652de944a7d51d6850da0,Ethereum,ETH,18,0.6076384915918848,ethereum,1391.577215134239,ethereum
