transactionHash,fromAddress,fromLabel,fromIsContract,toAddress,toLabel,toIsContract,tokenAddress,type,blockTimestamp,blockNumber,blockHash,tokenName,tokenSymbol,tokenDecimals,unitValue,tokenId,historicalUSD,chain
0xc652cb2e2325311234a2162e92831a5180499501dc0a0575d8b396a6903feda7,0x7EcAe810B6773b6B416e860acc945b1fAF11943f,0x7EcAe810B6773b6B416e860acc945b1fAF11943f,false,0x7444d1DCde03d554205D8655721C969A89De113F,0x7444d1DCde03d554205D8655721C969A89De113F,false,,external,2024-02-08T02:15:33Z,178532195,0xdf5323cda5ec0cd739ee7feebf95a7053e0ac74d20de7db75538eafd021a5140,Ethereum,ETH,18,0.12618706216640863,ethereum,307.1935697497701,arbitrum_one
0x1bd680057ec4454d5d39e9230a71abd15444bbb19057b85967496bc5bf807f00,0x32226588378236Fd0c7c4053999F88aC0e5cAc77,PancakeSwap: SmartRouter (0x322),true,0x7EcAe810B6773b6B416e860acc945b1fAF11943f,0x7EcAe810B6773b6B416e860acc945b1fAF11943f,false,,internal,2024-02-08T02:14:49Z,178532021,0x4bae9698dca6d733d73621e9160a425bf1392f10cc0fae7e9df65a493699c7dd,Ethereum,ETH,18,0.030311946245630196,ethereum,73.94478038836505,arbitrum_one
0x1bd680057ec4454d5d39e9230a71abd15444bbb19057b85967496bc5bf807f00,0x7EcAe810B6773b6B416e860acc945b1fAF11943f,0x7EcAe810B6773b6B416e860acc945b1fAF11943f,false,0xC5C3E9f4eF6Ee08906779DbC3B54896Ed4886a60,PancakeSwap: V3 Pool (0xC5C),true,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,token,2024-02-08T02:14:49Z,178532021,0x4bae9698dca6d733d73621e9160a425bf1392f10cc0fae7e9df65a493699c7dd,USD Coin (Arb1),USDC,6,73.885892,usd-coin-ethereum-bridged,73.885892,arbitrum_one
0x1dee5b945af9ab63bd2e8836edc2f18d391226ce9f2572c9c64dcfb7b83db35d,0xEB8350EA82b3852e63EFd1c55B2EF3f3BBabB938,PoolProxy (0xEB8),true,0x7EcAe810B6773b6B416e860acc945b1fAF11943f,0x7EcAe810B6773b6B416e860acc945b1fAF11943f,false,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,token,2024-02-08T02:13:34Z,178531731,0x81c6f8116c687fb0d51ac96c44a36e1d9cd0fd18137059d82887793176e835e8,USD Coin (Arb1),USDC,6,73.885892,usd-coin-ethereum-bridged,73.885892,arbitrum_one
0xefc3e1688a070d3ed8b771da73d1a262760cba5a38961de2588a55d099431552,0x7EcAe810B6773b6B416e860acc945b1fAF11943f,0x7EcAe810B6773b6B416e860acc945b1fAF11943f,false,0x23f53E7dF6fa555340b400dD6A2bd3D594B10BF3,Binance Deposit (0x23f),false,0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9,token,2024-02-08T02:10:47Z,178531073,0x482854f15b74696a7ca7722b7873c27750724044ddc46d529d0e438105f681de,Tether USD,USDT,6,1010.228083,arbitrum-bridged-usdt-arbitrum,1010.228083,arbitrum_one
0xae7203a3c80281325ee40794f700c857f5f058779d19e68e43fccd727cf3f529,0x5Eb4ED9F745531221FAE41906e11d37642B15da6,Unwrapper (0x5Eb),true,0x7EcAe810B6773b6B416e860acc945b1fAF11943f,0x7EcAe810B6773b6B416e860acc945b1fAF11943f,false,,internal,2024-02-08T02:09:51Z,178530852,0xa6853391b2758a6c020b0fbed4afea641655cf0f1ac5229a8883246858f301ed,Ethereum,ETH,18,0.09618632982077843,ethereum,234.80044972550223,arbitrum_one
0x7eca059f7bd44d6bf3fce42fad416b1118da3dac64007f992d5a197c185203ca,0x7EcAe810B6773b6B416e860acc945b1fAF11943f,0x7EcAe810B6773b6B416e860acc945b1fAF11943f,false,0x23f53E7dF6fa555340b400dD6A2bd3D594B10BF3,Binance Deposit (0x23f),false,,external,2024-02-08T02:02:54Z,35943260,0x79aeb6f1e7ba910ce95346f8378befb9ea2b2b25c0f9396f85cffdd718ab0237,BNB,BNB,18,0.13946923791941826,binancecoin,43.21733275409014,bsc
0xc079bf8ffea48dccfcc0661c8992cb3eca31c60c838f3e2c358d359b9dc56a04,0xeCc90d54B10ADd1ab746ABE7E83abe178B72aa9E,Gnosis Safe Proxy (0xeCc),true,0x7EcAe810B6773b6B416e860acc945b1fAF11943f,0x7EcAe810B6773b6B416e860acc945b1fAF11943f,false,0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9,token,2024-02-07T12:47:56Z,178345799,0xa14a3a51861146986069083f4ca2784b838f6b33137a7ef9f3dd4128622b10bd,Tether USD,USDT,6,1000,arbitrum-bridged-usdt-arbitrum,1000,arbitrum_one
0x847f0dcba2aa1069c9526434ee936aa2335d6168e4c652881eb9bf3a5246c53e,0xeCc90d54B10ADd1ab746ABE7E83abe178B72aa9E,Gnosis Safe Proxy (0xeCc),true,0x7EcAe810B6773b6B416e860acc945b1fAF11943f,0x7EcAe810B6773b6B416e860acc945b1fAF11943f,false,0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9,token,2024-02-07T12:46:33Z,178345476,0xa2fd8df6dffb1f7f9fdfed0a188b78193b7de7e42b0f1bd5a69f7b36355f7d3e,Tether USD,USDT,6,10.224,arbitrum-bridged-usdt-arbitrum,10.224,arbitrum_one
0xed04eb5eda03cd2ae3e5d33c02f7dced7e19ecf7bac65fcd2e30615a8f62c757,0x7EcAe810B6773b6B416e860acc945b1fAF11943f,0x7EcAe810B6773b6B416e860acc945b1fAF11943f,false,0x23f53E7dF6fa555340b400dD6A2bd3D594B10BF3,Binance Deposit (0x23f),false,,external,2024-02-07T04:38:36Z,178231168,0x26683b00c46fa2afac05de76b6fc7c6b41dd2be0abb8e0e2776d92428173d1ad,Ethereum,ETH,18,0.16483241862736142,ethereum,389.0819791973277,arbitrum_one
0x3b38b8e689683d9cf8f6cf6fcece4498a320aad30f827652c370bc3e8946d3b8,0x7EcAe810B6773b6B416e860acc945b1fAF11943f,0x7EcAe810B6773b6B416e860acc945b1fAF11943f,false,0xC5C3E9f4eF6Ee08906779DbC3B54896Ed4886a60,PancakeSwap: V3 Pool (0xC5C),true,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,token,2024-02-07T04:37:59Z,178231030,0x5ae1904212e97be6a3eb999b03dbca3675a55f26959c89ed5084c1083d4a2e64,USD Coin (Arb1),USDC,6,366.500899,usd-coin-ethereum-bridged,366.500899,arbitrum_one
0x3b38b8e689683d9cf8f6cf6fcece4498a320aad30f827652c370bc3e8946d3b8,0x32226588378236Fd0c7c4053999F88aC0e5cAc77,PancakeSwap: SmartRouter (0x322),true,0x7EcAe810B6773b6B416e860acc945b1fAF11943f,0x7EcAe810B6773b6B416e860acc945b1fAF11943f,false,,internal,2024-02-07T04:37:59Z,178231030,0x5ae1904212e97be6a3eb999b03dbca3675a55f26959c89ed5084c1083d4a2e64,Ethereum,ETH,18,0.15508868192736142,ethereum,366.08218102907875,arbitrum_one
